kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,-2.1475352113e-01,1.6352464789e+00,7.0140478598e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-2.3735915493e-01,1.6126408451e+00,6.8473955010e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-2.4497210889e-01,1.6050278911e+00,6.7871447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-2.5996478873e-01,1.5900352113e+00,6.6699755364e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-2.7887266971e-01,1.5711273303e+00,6.5101184211e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-2.8257042254e-01,1.5674295775e+00,6.4789694796e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.0517605634e-01,1.5448239437e+00,6.2778732498e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.0995782153e-01,1.5400421785e+00,6.2330921053e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.2778169014e-01,1.5222183099e+00,6.0650527034e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.3875851636e-01,1.5112414836e+00,5.9560657895e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.5038732394e-01,1.4996126761e+00,5.8388373037e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.6558804891e-01,1.4844119511e+00,5.6790394737e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.7299295775e-01,1.4770070423e+00,5.5993373924e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.9074655256e-01,1.4592534474e+00,5.4020131579e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-3.9559859155e-01,1.4544014085e+00,5.3463382139e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.1446389596e-01,1.4355361040e+00,5.1249868421e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.1820422535e-01,1.4317957746e+00,5.0793057857e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.3691249730e-01,1.4130875027e+00,4.8479605263e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.4080985915e-01,1.4091901408e+00,4.7973830904e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.5821670075e-01,1.3917832992e+00,4.5709342105e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.6341549296e-01,1.3865845070e+00,4.4993745344e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.7845886653e-01,1.3715411335e+00,4.2939078947e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.8602112676e-01,1.3639788732e+00,4.1837150900e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-4.9768221706e-01,1.3523177829e+00,4.0168815789e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.0862676056e-01,1.3413732394e+00,3.8484150263e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.1589001377e-01,1.3341099862e+00,3.7398552632e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.3123239437e-01,1.3187676056e+00,3.4909479004e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.3303914905e-01,1.3169608509e+00,3.4628289474e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.4949938001e-01,1.3005006200e+00,3.1858026316e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.5383802817e-01,1.2961619718e+00,3.1053078206e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.6507082476e-01,1.2849291752e+00,2.9087763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.7644366197e-01,1.2735563380e+00,2.6860774471e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.7942748351e-01,1.2705725165e+00,2.6317500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.9307321060e-01,1.2569267894e+00,2.3547236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,-5.9904929577e-01,1.2509507042e+00,2.2160368830e-01,1.0000000000e+00,2.1287019677e-01
